basis,p,distance,rounds,shots,failures,logical_error_rate,num_qubits,num_detectors,num_measurements
Z,0.0,2,2,10000,0,0.0,16,12,24
Z,0.0,3,3,10000,0,0.0,36,45,72
Z,0.0,4,4,10000,0,0.0,64,112,160
Z,0.0,5,5,10000,0,0.0,100,225,300
Z,0.001,2,2,10000,153,0.0153,16,12,24
Z,0.001,3,3,10000,6,0.0006,36,45,72
Z,0.001,4,4,10000,6,0.0006,64,112,160
Z,0.001,5,5,10000,0,0.0,100,225,300
X,0.0,2,2,10000,0,0.0,16,12,24
X,0.0,3,3,10000,0,0.0,36,45,72
X,0.0,4,4,10000,0,0.0,64,112,160
X,0.0,5,5,10000,0,0.0,100,225,300
X,0.001,2,2,10000,174,0.0174,16,12,24
X,0.001,3,3,10000,7,0.0007,36,45,72
X,0.001,4,4,10000,11,0.0011,64,112,160
X,0.001,5,5,10000,1,0.0001,100,225,300
