basis,p,distance,rounds,shots,failures,logical_error_rate,num_qubits,num_detectors,num_measurements
Z,0.0001,3,3,1000000,7,7e-06,36,45,72
Z,0.0001,5,5,1000000,0,0.0,100,225,300
Z,0.0001,7,7,1000000,0,0.0,196,637,784
Z,0.0001,11,11,1000000,0,0.0,484,2541,2904
Z,0.0001,13,13,1000000,0,0.0,676,4225,4732
Z,0.0001,15,15,1000000,0,0.0,900,6525,7200
Z,0.0001,17,17,1000000,0,0.0,1156,9537,10404
Z,0.0002,3,3,1000000,35,3.5e-05,36,45,72
Z,0.0002,5,5,1000000,0,0.0,100,225,300
Z,0.0002,7,7,1000000,0,0.0,196,637,784
Z,0.0002,11,11,1000000,0,0.0,484,2541,2904
Z,0.0002,13,13,1000000,0,0.0,676,4225,4732
Z,0.0002,15,15,1000000,0,0.0,900,6525,7200
Z,0.0002,17,17,1000000,0,0.0,1156,9537,10404
Z,0.0005,3,3,1000000,172,0.000172,36,45,72
Z,0.0005,5,5,1000000,5,5e-06,100,225,300
Z,0.0005,7,7,1000000,0,0.0,196,637,784
Z,0.0005,11,11,1000000,0,0.0,484,2541,2904
Z,0.0005,13,13,1000000,0,0.0,676,4225,4732
Z,0.0005,15,15,1000000,0,0.0,900,6525,7200
Z,0.0005,17,17,1000000,0,0.0,1156,9537,10404
Z,0.001,3,3,1000000,702,0.000702,36,45,72
Z,0.001,5,5,1000000,52,5.2e-05,100,225,300
Z,0.001,7,7,1000000,5,5e-06,196,637,784
Z,0.001,11,11,1000000,0,0.0,484,2541,2904
Z,0.001,13,13,1000000,0,0.0,676,4225,4732
Z,0.001,15,15,1000000,0,0.0,900,6525,7200
Z,0.001,17,17,1000000,0,0.0,1156,9537,10404
Z,0.002,3,3,1000000,2902,0.002902,36,45,72
Z,0.002,5,5,1000000,494,0.000494,100,225,300
Z,0.002,7,7,1000000,71,7.1e-05,196,637,784
Z,0.002,11,11,1000000,2,2e-06,484,2541,2904
Z,0.002,13,13,1000000,1,1e-06,676,4225,4732
Z,0.002,15,15,1000000,0,0.0,900,6525,7200
Z,0.002,17,17,1000000,0,0.0,1156,9537,10404
Z,0.005,3,3,1000000,19662,0.019662,36,45,72
Z,0.005,5,5,1000000,10761,0.010761,100,225,300
Z,0.005,7,7,1000000,5748,0.005748,196,637,784
Z,0.005,11,11,1000000,1362,0.001362,484,2541,2904
Z,0.005,13,13,1000000,718,0.000718,676,4225,4732
Z,0.005,15,15,1000000,370,0.00037,900,6525,7200
Z,0.005,17,17,1000000,168,0.000168,1156,9537,10404
Z,0.01,3,3,1000000,80435,0.080435,36,45,72
Z,0.01,5,5,1000000,98730,0.09873,100,225,300
Z,0.01,7,7,1000000,120324,0.120324,196,637,784
Z,0.01,11,11,1000000,175738,0.175738,484,2541,2904
Z,0.01,13,13,1000000,209243,0.209243,676,4225,4732
Z,0.01,15,15,1000000,245766,0.245766,900,6525,7200
Z,0.01,17,17,1000000,282705,0.282705,1156,9537,10404
X,0.0001,3,3,1000000,8,8e-06,36,45,72
X,0.0001,5,5,1000000,1,1e-06,100,225,300
X,0.0001,7,7,1000000,0,0.0,196,637,784
X,0.0001,11,11,1000000,0,0.0,484,2541,2904
X,0.0001,13,13,1000000,0,0.0,676,4225,4732
X,0.0001,15,15,1000000,0,0.0,900,6525,7200
X,0.0001,17,17,1000000,0,0.0,1156,9537,10404
