basis,p,distance,rounds,shots,failures_any,logical_error_rate_any,failures_obs0,logical_error_rate_obs0,failures_obs1,logical_error_rate_obs1,num_qubits,num_detectors,num_measurements,num_observables
Z,0.001,3,3,100000,118,0.00118,73,0.00073,55,0.00055,36,45,72,2
Z,0.001,5,5,100000,6,6e-05,5,5e-05,1,1e-05,100,225,300,2
Z,0.001,7,7,100000,0,0.0,0,0.0,0,0.0,196,637,784,2
Z,0.001,9,9,100000,0,0.0,0,0.0,0,0.0,324,1377,1620,2
Z,0.001,11,11,100000,0,0.0,0,0.0,0,0.0,484,2541,2904,2
Z,0.001,13,13,100000,0,0.0,0,0.0,0,0.0,676,4225,4732,2
Z,0.001,15,15,100000,0,0.0,0,0.0,0,0.0,900,6525,7200,2
Z,0.002,3,3,100000,538,0.00538,277,0.00277,285,0.00285,36,45,72,2
Z,0.002,5,5,100000,94,0.00094,57,0.00057,41,0.00041,100,225,300,2
Z,0.002,7,7,100000,14,0.00014,11,0.00011,3,3e-05,196,637,784,2
Z,0.002,9,9,100000,2,2e-05,0,0.0,2,2e-05,324,1377,1620,2
Z,0.002,11,11,100000,0,0.0,0,0.0,0,0.0,484,2541,2904,2
Z,0.002,13,13,100000,0,0.0,0,0.0,0,0.0,676,4225,4732,2
Z,0.002,15,15,100000,0,0.0,0,0.0,0,0.0,900,6525,7200,2
Z,0.003,3,3,100000,1208,0.01208,661,0.00661,644,0.00644,36,45,72,2
Z,0.003,5,5,100000,361,0.00361,188,0.00188,188,0.00188,100,225,300,2
Z,0.003,7,7,100000,104,0.00104,59,0.00059,47,0.00047,196,637,784,2
Z,0.003,9,9,100000,24,0.00024,16,0.00016,8,8e-05,324,1377,1620,2
Z,0.003,11,11,100000,6,6e-05,6,6e-05,0,0.0,484,2541,2904,2
Z,0.003,13,13,100000,0,0.0,0,0.0,0,0.0,676,4225,4732,2
Z,0.003,15,15,100000,0,0.0,0,0.0,0,0.0,900,6525,7200,2
Z,0.004,3,3,100000,2249,0.02249,1254,0.01254,1195,0.01195,36,45,72,2
Z,0.004,5,5,100000,917,0.00917,533,0.00533,439,0.00439,100,225,300,2
Z,0.004,7,7,100000,334,0.00334,191,0.00191,156,0.00156,196,637,784,2
Z,0.004,9,9,100000,132,0.00132,67,0.00067,66,0.00066,324,1377,1620,2
Z,0.004,11,11,100000,46,0.00046,26,0.00026,21,0.00021,484,2541,2904,2
Z,0.004,13,13,100000,12,0.00012,5,5e-05,7,7e-05,676,4225,4732,2
Z,0.004,15,15,100000,11,0.00011,6,6e-05,5,5e-05,900,6525,7200,2
Z,0.005,3,3,100000,3399,0.03399,1868,0.01868,1862,0.01862,36,45,72,2
Z,0.005,5,5,100000,1970,0.0197,1120,0.0112,992,0.00992,100,225,300,2
Z,0.005,7,7,100000,955,0.00955,561,0.00561,465,0.00465,196,637,784,2
Z,0.005,9,9,100000,504,0.00504,277,0.00277,248,0.00248,324,1377,1620,2
Z,0.005,11,11,100000,268,0.00268,158,0.00158,124,0.00124,484,2541,2904,2
Z,0.005,13,13,100000,134,0.00134,74,0.00074,65,0.00065,676,4225,4732,2
Z,0.005,15,15,100000,67,0.00067,27,0.00027,40,0.0004,900,6525,7200,2
Z,0.006,3,3,100000,5227,0.05227,2904,0.02904,2884,0.02884,36,45,72,2
Z,0.006,5,5,100000,3524,0.03524,2012,0.02012,1835,0.01835,100,225,300,2
Z,0.006,7,7,100000,2368,0.02368,1321,0.01321,1244,0.01244,196,637,784,2
Z,0.006,9,9,100000,1524,0.01524,880,0.0088,777,0.00777,324,1377,1620,2
Z,0.006,11,11,100000,1036,0.01036,591,0.00591,508,0.00508,484,2541,2904,2
Z,0.006,13,13,100000,656,0.00656,390,0.0039,308,0.00308,676,4225,4732,2
Z,0.006,15,15,100000,441,0.00441,234,0.00234,229,0.00229,900,6525,7200,2
Z,0.007,3,3,100000,6778,0.06778,3812,0.03812,3759,0.03759,36,45,72,2
Z,0.007,5,5,100000,5634,0.05634,3175,0.03175,3035,0.03035,100,225,300,2
Z,0.007,7,7,100000,4738,0.04738,2746,0.02746,2509,0.02509,196,637,784,2
Z,0.007,9,9,100000,3921,0.03921,2258,0.02258,2074,0.02074,324,1377,1620,2
Z,0.007,11,11,100000,3267,0.03267,1898,0.01898,1706,0.01706,484,2541,2904,2
Z,0.007,13,13,100000,2740,0.0274,1567,0.01567,1436,0.01436,676,4225,4732,2
Z,0.007,15,15,100000,2303,0.02303,1384,0.01384,1156,0.01156,900,6525,7200,2
Z,0.008,3,3,100000,9077,0.09077,5127,0.05127,5062,0.05062,36,45,72,2
Z,0.008,5,5,100000,8756,0.08756,5048,0.05048,4778,0.04778,100,225,300,2
Z,0.008,7,7,100000,8211,0.08211,4758,0.04758,4548,0.04548,196,637,784,2
Z,0.008,9,9,100000,8189,0.08189,4866,0.04866,4388,0.04388,324,1377,1620,2
Z,0.008,11,11,100000,8225,0.08225,4832,0.04832,4513,0.04513,484,2541,2904,2
Z,0.008,13,13,100000,8141,0.08141,4784,0.04784,4456,0.04456,676,4225,4732,2
Z,0.008,15,15,100000,8227,0.08227,4831,0.04831,4506,0.04506,900,6525,7200,2
Z,0.009,3,3,100000,11314,0.11314,6591,0.06591,6308,0.06308,36,45,72,2
Z,0.009,5,5,100000,12424,0.12424,7188,0.07188,7049,0.07049,100,225,300,2
Z,0.009,7,7,100000,13640,0.1364,7978,0.07978,7657,0.07657,196,637,784,2
Z,0.009,9,9,100000,15006,0.15006,8962,0.08962,8446,0.08446,324,1377,1620,2
Z,0.009,11,11,100000,16834,0.16834,9979,0.09979,9625,0.09625,484,2541,2904,2
Z,0.009,13,13,100000,18578,0.18578,11120,0.1112,10682,0.10682,676,4225,4732,2
Z,0.009,15,15,100000,21038,0.21038,12731,0.12731,12096,0.12096,900,6525,7200,2
Z,0.01,3,3,100000,13922,0.13922,8027,0.08027,7954,0.07954,36,45,72,2
Z,0.01,5,5,100000,16689,0.16689,9930,0.0993,9404,0.09404,100,225,300,2
Z,0.01,7,7,100000,19988,0.19988,12054,0.12054,11373,0.11373,196,637,784,2
Z,0.01,9,9,100000,23894,0.23894,14375,0.14375,13993,0.13993,324,1377,1620,2
Z,0.01,11,11,100000,28845,0.28845,17614,0.17614,16985,0.16985,484,2541,2904,2
Z,0.01,13,13,100000,33766,0.33766,20886,0.20886,20240,0.2024,676,4225,4732,2
Z,0.01,15,15,100000,39402,0.39402,24456,0.24456,23977,0.23977,900,6525,7200,2
Z,0.012,3,3,100000,19210,0.1921,11396,0.11396,11012,0.11012,36,45,72,2
Z,0.012,5,5,100000,26621,0.26621,16011,0.16011,15663,0.15663,100,225,300,2
Z,0.012,7,7,100000,35422,0.35422,21717,0.21717,21226,0.21226,196,637,784,2
Z,0.012,9,9,100000,45213,0.45213,28286,0.28286,27919,0.27919,324,1377,1620,2
Z,0.012,11,11,100000,54154,0.54154,34550,0.3455,33914,0.33914,484,2541,2904,2
Z,0.012,13,13,100000,61983,0.61983,40078,0.40078,39585,0.39585,676,4225,4732,2
Z,0.012,15,15,100000,67718,0.67718,44078,0.44078,43886,0.43886,900,6525,7200,2
X,0.001,3,3,100000,123,0.00123,73,0.00073,58,0.00058,36,45,72,2
X,0.001,5,5,100000,14,0.00014,9,9e-05,5,5e-05,100,225,300,2
X,0.001,7,7,100000,0,0.0,0,0.0,0,0.0,196,637,784,2
X,0.001,9,9,100000,0,0.0,0,0.0,0,0.0,324,1377,1620,2
X,0.001,11,11,100000,0,0.0,0,0.0,0,0.0,484,2541,2904,2
X,0.001,13,13,100000,0,0.0,0,0.0,0,0.0,676,4225,4732,2
X,0.001,15,15,100000,0,0.0,0,0.0,0,0.0,900,6525,7200,2
X,0.002,3,3,100000,482,0.00482,253,0.00253,258,0.00258,36,45,72,2
