code,basis,p,distance,rounds,shots,failures,logical_error_rate,num_qubits,num_detectors,num_observables,num_measurements
toric,Z,0.001,2,2,300000,5111,0.017036666666666665,16,12,1,24
toric,Z,0.001,3,3,300000,204,0.00068,36,45,1,72
toric,Z,0.001,4,4,300000,223,0.0007433333333333334,64,112,1,160
toric,Z,0.001,5,5,300000,13,4.3333333333333334e-05,100,225,1,300
toric,Z,0.003,2,2,300000,14958,0.04986,16,12,1,24
toric,Z,0.003,3,3,300000,2105,0.007016666666666667,36,45,1,72
toric,Z,0.003,4,4,300000,2220,0.0074,64,112,1,160
toric,Z,0.003,5,5,300000,539,0.0017966666666666667,100,225,1,300
toric,X,0.001,2,2,300000,5128,0.017093333333333332,16,12,1,24
toric,X,0.001,3,3,300000,186,0.00062,36,45,1,72
toric,X,0.001,4,4,300000,227,0.0007566666666666667,64,112,1,160
toric,X,0.001,5,5,300000,23,7.666666666666667e-05,100,225,1,300
toric,X,0.003,2,2,300000,14931,0.04977,16,12,1,24
toric,X,0.003,3,3,300000,2002,0.006673333333333333,36,45,1,72
toric,X,0.003,4,4,300000,2194,0.007313333333333333,64,112,1,160
toric,X,0.003,5,5,300000,582,0.00194,100,225,1,300
surface,Z,0.001,2,2,300000,3288,0.01096,13,5,1,10
surface,Z,0.001,3,3,300000,250,0.0008333333333333334,26,24,1,33
surface,Z,0.001,4,4,300000,220,0.0007333333333333333,43,59,1,76
surface,Z,0.001,5,5,300000,33,0.00011,64,120,1,145
surface,Z,0.003,2,2,300000,9565,0.03188333333333333,13,5,1,10
surface,Z,0.003,3,3,300000,2013,0.00671,26,24,1,33
surface,Z,0.003,4,4,300000,2117,0.007056666666666667,43,59,1,76
surface,Z,0.003,5,5,300000,957,0.00319,64,120,1,145
surface,X,0.001,2,2,300000,3161,0.010536666666666666,13,7,1,10
surface,X,0.001,3,3,300000,270,0.0009,26,24,1,33
surface,X,0.001,4,4,300000,250,0.0008333333333333334,43,61,1,76
surface,X,0.001,5,5,300000,42,0.00014,64,120,1,145
surface,X,0.003,2,2,300000,9593,0.03197666666666667,13,7,1,10
surface,X,0.003,3,3,300000,2231,0.007436666666666667,26,24,1,33
surface,X,0.003,4,4,300000,2199,0.00733,43,61,1,76
surface,X,0.003,5,5,300000,1166,0.0038866666666666667,64,120,1,145
