code,basis,p,distance,rounds,shots,failures,logical_error_rate,num_qubits,num_detectors,num_observables,num_measurements
toric,Z,0.008,5,5,10000,487,0.0487,100,225,1,300
toric,Z,0.008,7,7,10000,496,0.0496,196,637,1,784
toric,Z,0.008,11,11,10000,452,0.0452,484,2541,1,2904
toric,Z,0.008,15,15,10000,482,0.0482,900,6525,1,7200
toric,Z,0.008,17,17,10000,483,0.0483,1156,9537,1,10404
toric,Z,0.008,21,21,10000,538,0.0538,1764,18081,1,19404
toric,Z,0.01,5,5,10000,1032,0.1032,100,225,1,300
toric,Z,0.01,7,7,10000,1186,0.1186,196,637,1,784
toric,Z,0.01,11,11,10000,1778,0.1778,484,2541,1,2904
toric,Z,0.01,15,15,10000,2450,0.245,900,6525,1,7200
toric,Z,0.01,17,17,10000,2806,0.2806,1156,9537,1,10404
toric,Z,0.01,21,21,10000,3523,0.3523,1764,18081,1,19404
toric,Z,0.03,5,5,10000,4903,0.4903,100,225,1,300
toric,Z,0.03,7,7,10000,5076,0.5076,196,637,1,784
toric,Z,0.03,11,11,10000,4932,0.4932,484,2541,1,2904
toric,Z,0.03,15,15,10000,5059,0.5059,900,6525,1,7200
toric,Z,0.03,17,17,10000,5034,0.5034,1156,9537,1,10404
toric,Z,0.03,21,21,10000,4892,0.4892,1764,18081,1,19404
toric,Z,0.05,5,5,10000,4951,0.4951,100,225,1,300
toric,Z,0.05,7,7,10000,5034,0.5034,196,637,1,784
toric,Z,0.05,11,11,10000,5004,0.5004,484,2541,1,2904
toric,Z,0.05,15,15,10000,5016,0.5016,900,6525,1,7200
toric,Z,0.05,17,17,10000,5016,0.5016,1156,9537,1,10404
toric,Z,0.05,21,21,10000,4954,0.4954,1764,18081,1,19404
toric,Z,0.07,5,5,10000,4946,0.4946,100,225,1,300
toric,Z,0.07,7,7,10000,5036,0.5036,196,637,1,784
toric,Z,0.07,11,11,10000,5098,0.5098,484,2541,1,2904
toric,Z,0.07,15,15,10000,4976,0.4976,900,6525,1,7200
toric,Z,0.07,17,17,10000,5084,0.5084,1156,9537,1,10404
toric,Z,0.07,21,21,10000,5085,0.5085,1764,18081,1,19404
toric,Z,0.1,5,5,10000,5011,0.5011,100,225,1,300
toric,Z,0.1,7,7,10000,4985,0.4985,196,637,1,784
toric,Z,0.1,11,11,10000,4966,0.4966,484,2541,1,2904
toric,Z,0.1,15,15,10000,5040,0.504,900,6525,1,7200
toric,Z,0.1,17,17,10000,4961,0.4961,1156,9537,1,10404
toric,Z,0.1,21,21,10000,4977,0.4977,1764,18081,1,19404
toric,X,0.008,5,5,10000,475,0.0475,100,225,1,300
toric,X,0.008,7,7,10000,486,0.0486,196,637,1,784
toric,X,0.008,11,11,10000,480,0.048,484,2541,1,2904
toric,X,0.008,15,15,10000,477,0.0477,900,6525,1,7200
toric,X,0.008,17,17,10000,515,0.0515,1156,9537,1,10404
toric,X,0.008,21,21,10000,543,0.0543,1764,18081,1,19404
toric,X,0.01,5,5,10000,983,0.0983,100,225,1,300
toric,X,0.01,7,7,10000,1186,0.1186,196,637,1,784
toric,X,0.01,11,11,10000,1754,0.1754,484,2541,1,2904
toric,X,0.01,15,15,10000,2370,0.237,900,6525,1,7200
toric,X,0.01,17,17,10000,2755,0.2755,1156,9537,1,10404
toric,X,0.01,21,21,10000,3583,0.3583,1764,18081,1,19404
toric,X,0.03,5,5,10000,4860,0.486,100,225,1,300
